gadm_district,gadm_state,year,month,mean_radiance,pixel_count
Agra,Uttar Pradesh,2022,10,1.0426737070083618,45962.0
Agra,Uttar Pradesh,2022,11,1.0324463844299316,45962.0
Agra,Uttar Pradesh,2022,12,0.9803900718688964,45962.0
Agra,Uttar Pradesh,2023,1,0.8146944642066956,45962.0
Agra,Uttar Pradesh,2023,2,1.1707559823989868,45962.0
Agra,Uttar Pradesh,2023,3,1.041137456893921,45962.0
Agra,Uttar Pradesh,2023,4,1.1356178522109983,45962.0
Agra,Uttar Pradesh,2023,5,1.0357770919799805,45962.0
Agra,Uttar Pradesh,2023,6,0.9550250172615052,45962.0
Agra,Uttar Pradesh,2023,7,0.8035376071929932,45962.0
Agra,Uttar Pradesh,2023,8,0.8983293175697327,45962.0
Agra,Uttar Pradesh,2023,9,0.8137785792350769,45962.0
Agra,Uttar Pradesh,2023,10,1.031819462776184,45962.0
Agra,Uttar Pradesh,2023,11,1.1295804977416992,45962.0
Agra,Uttar Pradesh,2023,12,1.0391147136688232,45962.0
Agra,Uttar Pradesh,2024,1,0.8269856572151184,45962.0
Agra,Uttar Pradesh,2024,2,1.140068292617798,45962.0
Agra,Uttar Pradesh,2024,3,1.2634804248809814,45962.0
Agra,Uttar Pradesh,2024,4,1.2355002164840698,45962.0
Agra,Uttar Pradesh,2024,5,1.03257954120636,45962.0
Agra,Uttar Pradesh,2024,6,1.0563979148864746,45962.0
Agra,Uttar Pradesh,2024,7,0.7835401296615601,45962.0
Agra,Uttar Pradesh,2024,8,0.7289941310882568,45962.0
Agra,Uttar Pradesh,2024,9,0.8330743908882141,45962.0
Agra,Uttar Pradesh,2024,10,1.180577039718628,45962.0
Agra,Uttar Pradesh,2024,11,1.2095757722854614,45962.0
Agra,Uttar Pradesh,2024,12,1.0977389812469482,45962.0
Ahmadabad,Gujarat,2015,1,0.7017460465431213,106251.0
Ahmadabad,Gujarat,2015,2,0.7141706943511963,106264.0
Ahmadabad,Gujarat,2015,3,0.6872597932815552,106264.0
Ahmadabad,Gujarat,2015,4,0.6991141438484192,106264.0
